relative_day,up_rate,up_cat,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
120,0.04907108239095314,1,0.10423681433773016,0.045859055750184285,0.04093122183568141,1474,153.64506433381425,207.17,212.53,206.53,207.8,64827300,0,1,0,0,0,0,0
1,0.0,0,0.07340756185226856,0.04029199454117344,0.03134765935907485,2168,159.14759409571826,152.24,156.13,151.59,155.21,37039700,0,1,0,0,0,0,0
2,-0.09960698408607696,-2,0.07335409557404228,0.042419084813656416,0.055816846643164365,1306,95.80044881969921,141.51,143.22,139.57,139.75,91312200,0,1,0,0,0,0,0
8,0.0,0,0.057627515157847226,0.020965951060901544,0.0,783,45.122344368594376,148.7,151.88,147.07,150.68,45099100,0,1,0,0,0,0,0
9,0.003185558800106117,0,0.0811302104274327,0.01871165867598421,0.01920917171928241,1170,94.92234620009626,149.89,151.33,148.28,151.16,35780700,0,1,0,0,0,0,0
31,0.0004890274466653468,0,0.1091532057008245,0.05389952017600585,0.07519461131738094,546,59.597650312650174,164.1,166.08,163.09,163.67,32668100,0,1,0,0,0,0,0
34,0.0,0,0.06586470720663452,0.05580052679519162,0.03638440190027483,1183,77.91794862544863,164.54,168.72,164.41,168.32,31495500,0,1,0,0,0,0,0
35,0.01711026615969579,1,0.09016499381254164,0.057228820979943126,0.02195490240221151,1519,136.96062560125074,169.9,172.08,169.4,171.2,36101600,0,1,0,0,0,0,0
36,0.00029205607476642163,0,0.0693429562414421,0.06357430689652456,0.052009900339725385,1618,112.19690319865332,171.66,172.56,169.89,171.25,28239600,0,1,0,0,0,0,0
37,-0.01891970802919713,-1,0.04419517189644488,0.057867237296343375,0.07512421908687274,2455,108.49914700577216,169.45,170.96,167.42,168.01,31741700,0,1,0,0,0,0,0
38,0.0011904053330159935,0,0.10742629661019937,0.05410300497969823,0.06790104065014288,2137,229.569995855996,166.81,168.46,166.24,168.21,23820000,0,1,0,0,0,0,0
41,0.0,0,0.08079522335339938,0.0538563036810375,0.035808765536733116,1590,128.464405131905,168.84,169.0,167.06,167.24,20993400,0,1,0,0,0,0,0
42,0.008610380291796208,0,0.06327052173680023,0.05598923455914676,0.026931741117799796,1846,116.7973831261332,167.9,168.79,167.51,168.68,22283500,0,1,0,0,0,0,0
43,-0.004149869575527728,0,0.09975344997426172,0.05214716711975514,0.04802191503006653,2137,213.1731225949973,169.18,170.25,167.72,167.98,22490200,0,1,0,0,0,0,0
44,0.003631384688653493,0,0.1350707965269713,0.0564915233673008,0.08127306502148711,1834,247.71984083046533,167.52,169.05,167.19,168.59,21835700,0,1,0,0,0,0,0
45,-0.002194673468177261,0,0.11244608513090884,0.06947375545737601,0.0993649227460111,2079,233.77541098715943,169.04,169.48,167.56,168.22,24626800,0,1,0,0,0,0,0
49,0.0,0,0.13130737851305832,0.0586486933384203,0.0,1822,239.24204365079223,167.52,169.23,167.3,168.72,18972800,0,1,0,0,0,0,0
