,relative_day,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
47,31,netflix,0.07147593251727564,0.0612532103004112,0.09406876055200324,644,46.03050054112552,337.18,346.84,336.5,339.85,9827800
48,34,netflix,0.06949346226928878,0.06080118775065111,0.02382531083909188,1210,84.08708934583942,342.6,352.0,341.3,351.34,9051400
49,35,netflix,0.06820070640042931,0.06045366806322487,0.02316448742309626,1263,86.13749218374222,353.2,360.0,352.9,355.81,9046600
50,36,netflix,0.09283377062196013,0.06070417044511707,0.045898056223239364,1414,131.26695165945162,357.0,357.04,347.19,352.19,6717700
51,37,netflix,0.11388729516297935,0.05807297157931256,0.0768426464305594,1898,216.15808621933482,347.9,348.75,339.02,344.71,7864500
52,38,netflix,0.11913557929063844,0.05941302385313331,0.09164059072845626,1680,200.14777320827258,338.0,348.0,338.0,347.57,7561400
53,41,netflix,0.1057591380279503,0.06622154482075657,0.039711859763546145,1103,116.65232924482918,350.0,352.87,344.81,345.73,5454900
54,42,netflix,0.1196131904631905,0.0714023556434225,0.035253046009316766,925,110.6422011784512,348.09,360.0,346.52,359.97,10429400
55,43,netflix,0.07005547155256449,0.07874699622381696,0.07512410949704694,1118,78.3220171957671,357.3,359.6,350.28,351.77,10559100
56,44,netflix,0.09932254821160091,0.07549295349961758,0.09847593334790176,1272,126.33828132515636,351.75,360.45,348.33,359.07,9295300
57,45,netflix,0.10036734305081832,0.07341227536370636,0.09633040340911862,1056,105.98791426166414,358.47,364.4,355.5,356.87,9230000
58,49,netflix,0.08391212790400648,0.05562265046831061,0.0,1416,118.81957311207319,355.8,365.0,355.32,361.92,7396600
59,50,netflix,0.18795697921756022,0.05052249867414145,0.027970709301335495,2032,381.92858177008236,364.85,366.71,356.7,359.91,8110700
60,51,netflix,0.22244950564953456,0.06736557119771228,0.0906230357071889,2574,572.5850275419019,360.03,362.85,353.88,356.97,6227900
61,52,netflix,0.05463079625001331,0.0849551365459885,0.1647728709237004,1405,76.7562687312687,360.34,366.13,360.05,363.02,7088200
62,55,netflix,0.08215786939296789,0.07842134414587351,0.018210265416671104,1015,83.39023743386241,367.01,371.49,363.79,363.91,7569300
63,56,netflix,0.10064504687461105,0.09015818263058321,0.02738595646432263,1101,110.81019660894677,362.98,365.7,359.33,364.97,4944600
64,57,netflix,0.09398247309627905,0.09254859962638386,0.060934305422526314,1005,94.45238546176044,363.5,368.03,359.8,362.87,5629900
65,58,netflix,-0.030968633199678165,0.07912367018048656,0.09226179645461934,976,-30.22538600288589,362.47,366.39,357.71,358.1,6186800
66,59,netflix,0.0167846542704687,0.042921078916313304,0.054552962257070646,749,12.571706048581056,362.26,362.87,354.69,357.32,5526500
67,62,netflix,0.09203075037789846,0.037514487204949785,0.0055948847568229,1122,103.25850192400206,359.72,362.25,348.04,351.04,7487000
68,63,netflix,0.09001179929073662,0.03892489877422558,0.03067691679263282,527,47.436218226218195,351.46,356.17,348.25,354.3,5937800
