,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
17,-35,0.006307942272770819,0,microsoft,0.13107204203016387,0.07565443972529094,0.045553415511042646,197,25.821192279942284,104.44,105.48,103.54,105.29,29124500
18,-34,0.03713553043973783,1,microsoft,0.13043665033796611,0.07806564490519012,0.08924409618776392,190,24.78296356421356,106.03,109.41,106.0,109.2,46788500
19,-33,-0.008333333333333302,0,microsoft,0.12544213319637046,0.0742003262112512,0.13272297963375265,236,29.604343434343427,108.43,109.2,107.15,108.29,28123200
20,-32,0.006371779481023157,0,microsoft,0.12875102986489134,0.09212063095358983,0.12898360852150015,303,39.01156204906208,108.79,109.06,107.47,108.98,33665600
21,-29,0.0,0,microsoft,0.10010915869070164,0.09319458599464568,0.04291700995496378,256,25.62794462481962,111.05,111.46,108.82,110.16,34732800
22,-28,-0.03186274509803914,-1,microsoft,0.11411363177782667,0.0879730020171562,0.03336971956356721,354,40.39622564935064,110.01,110.7,106.34,106.65,45197000
23,-26,0.0,0,microsoft,0.11255145889891652,0.06691656478997002,0.07140759682284277,295,33.20268037518037,103.99,107.36,103.19,107.31,49107400
24,-25,-0.04007082284968779,-1,microsoft,0.07989553924336537,0.06507503989033374,0.07555503022558106,230,18.375974025974035,106.51,107.56,102.5,103.01,45044900
25,-8,0.0,0,microsoft,-0.009076479076479082,0.0,0.0,30,-0.2722943722943725,95.99,96.28,92.36,92.51,43935200
26,-6,0.0,0,microsoft,0.09526921387790953,-0.0012966398680684403,-0.003025493025493027,115,10.955959595959596,93.5,98.95,92.34,98.82,51634800
27,-5,0.006172839506172978,0,microsoft,0.1147844345506947,0.012313247828775778,0.028730911600476815,123,14.118485449735449,97.59,99.44,94.74,99.43,49498500
28,-4,-0.007744141607160919,0,microsoft,0.1511283631243309,0.02871102419316074,0.07001788280953475,124,18.739917027417032,100.33,100.64,97.8,98.66,38196300
29,-1,0.0,0,microsoft,0.10742283773257223,0.05030079035377944,0.05037612104144363,113,12.138780663780663,99.54,100.63,98.71,99.82,33173800
30,1,0.0,0,microsoft,0.09974799447257075,0.06694354989792962,0.03580761257752408,118,11.770263347763349,97.83,99.99,97.23,99.38,35329300
31,2,-0.036828335681223553,-1,microsoft,0.08917453758362848,0.06758337569716694,0.06905694406838099,77,6.866439393939393,98.37,98.46,95.52,95.72,42579100
32,8,0.0,0,microsoft,0.13486387381957002,0.026988933150885606,0.0,79,10.654246031746032,102.07,103.07,101.46,102.47,32280800
33,9,-0.006440909534497869,0,microsoft,0.11235507467472643,0.03200548734331407,0.04495462460652334,201,22.583370009620012,101.44,101.96,100.61,101.81,30067600
34,13,0.0,0,microsoft,0.29333333333333333,0.03531699264204235,0.0,10,2.9333333333333336,100.14,101.09,99.51,100.29,28437100
35,14,0.029015854023332302,1,microsoft,0.10400592121903596,0.07722175454680426,0.09777777777777778,183,19.03308358308358,100.74,103.24,100.12,103.2,31587600
36,15,0.00348837209302325,0,microsoft,0.11524228401720094,0.0920797432923808,0.1324464181841231,301,34.68792748917748,103.44,104.43,103.15,103.56,29853900
