features:,relative_day,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.5079365079365079,0.4603174603174603,0.7301587301587301,
amazon,0.5873015873015873,0.49206349206349204,0.7142857142857143,
facebook,0.6349206349206349,0.47619047619047616,0.7142857142857143,
google,0.6111111111111112,0.5,0.6666666666666666,
microsoft,0.6666666666666666,0.6190476190476191,0.7619047619047619,
netflix,0.47619047619047616,0.4126984126984127,0.6349206349206349,
tesla,0.36507936507936506,0.3492063492063492,0.5714285714285714,

features:,past_3_days_senti_avg,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.6666666666666666,0.4444444444444444,0.7142857142857143,
amazon,0.6984126984126984,0.6507936507936508,0.7142857142857143,
facebook,0.6507936507936508,0.5714285714285714,0.7301587301587301,
google,0.5555555555555556,0.5555555555555556,0.6666666666666666,
microsoft,0.7301587301587301,0.6666666666666666,0.7619047619047619,
netflix,0.4603174603174603,0.38095238095238093,0.6349206349206349,
tesla,0.47619047619047616,0.5396825396825397,0.5396825396825397,

features:,past_7_days_senti_avg,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.6031746031746031,0.49206349206349204,0.7142857142857143,
amazon,0.6349206349206349,0.42857142857142855,0.7142857142857143,
facebook,0.5714285714285714,0.47619047619047616,0.7301587301587301,
google,0.5,0.6111111111111112,0.6666666666666666,
microsoft,0.6666666666666666,0.5396825396825397,0.7619047619047619,
netflix,0.5079365079365079,0.4444444444444444,0.6349206349206349,
tesla,0.4603174603174603,0.42857142857142855,0.5396825396825397,

features:,1_day_sentiment_score,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.6190476190476191,0.42857142857142855,0.7142857142857143,
amazon,0.6984126984126984,0.5873015873015873,0.7142857142857143,
facebook,0.5555555555555556,0.5555555555555556,0.7301587301587301,
google,0.6111111111111112,0.2777777777777778,0.6666666666666666,
microsoft,0.7301587301587301,0.5555555555555556,0.7619047619047619,
netflix,0.38095238095238093,0.4126984126984127,0.6349206349206349,
tesla,0.4444444444444444,0.3968253968253968,0.5396825396825397,

features:,1_day_news_count,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.6507936507936508,0.49206349206349204,0.6984126984126984,
amazon,0.6825396825396826,0.47619047619047616,0.7142857142857143,
facebook,0.5238095238095238,0.3333333333333333,0.6825396825396826,
google,0.6666666666666666,0.5555555555555556,0.6666666666666666,
microsoft,0.6507936507936508,0.5396825396825397,0.7301587301587301,
netflix,0.49206349206349204,0.3968253968253968,0.5873015873015873,
tesla,0.4444444444444444,0.30158730158730157,0.47619047619047616,

features:,1_day_overall_sentiment_score,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.6031746031746031,0.5079365079365079,0.6984126984126984,
amazon,0.6825396825396826,0.5714285714285714,0.7142857142857143,
facebook,0.5714285714285714,0.42857142857142855,0.6507936507936508,
google,0.5555555555555556,0.5,0.6111111111111112,
microsoft,0.7301587301587301,0.5555555555555556,0.7777777777777778,
netflix,0.3968253968253968,0.2857142857142857,0.5238095238095238,
tesla,0.42857142857142855,0.31746031746031744,0.36507936507936506,

features:,relative_day,past_3_days_senti_avg,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.5079365079365079,0.6190476190476191,0.7301587301587301,
amazon,0.5714285714285714,0.4444444444444444,0.6984126984126984,
facebook,0.6507936507936508,0.47619047619047616,0.6984126984126984,
google,0.6666666666666666,0.5,0.6666666666666666,
microsoft,0.6666666666666666,0.6666666666666666,0.746031746031746,
netflix,0.49206349206349204,0.4444444444444444,0.5873015873015873,
tesla,0.42857142857142855,0.3492063492063492,0.47619047619047616,

features:,relative_day,past_7_days_senti_avg,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.5079365079365079,0.5396825396825397,0.7301587301587301,
amazon,0.5714285714285714,0.5238095238095238,0.6984126984126984,
facebook,0.6507936507936508,0.6349206349206349,0.6984126984126984,
google,0.6111111111111112,0.5,0.6666666666666666,
microsoft,0.6666666666666666,0.6031746031746031,0.746031746031746,
netflix,0.47619047619047616,0.4444444444444444,0.5873015873015873,
tesla,0.42857142857142855,0.3968253968253968,0.47619047619047616,



features:,relative_day,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.5079365079365079,0.4603174603174603,0.7301587301587301,
amazon,0.5873015873015873,0.49206349206349204,0.7142857142857143,
facebook,0.6349206349206349,0.47619047619047616,0.7142857142857143,
google,0.6111111111111112,0.5,0.6666666666666666,
microsoft,0.6666666666666666,0.6190476190476191,0.7619047619047619,
netflix,0.47619047619047616,0.4126984126984127,0.6349206349206349,
tesla,0.36507936507936506,0.3492063492063492,0.5714285714285714,

features:,past_3_days_senti_avg,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.6666666666666666,0.4444444444444444,0.7142857142857143,
amazon,0.6984126984126984,0.6507936507936508,0.7142857142857143,
facebook,0.6507936507936508,0.5714285714285714,0.7301587301587301,
google,0.5555555555555556,0.5555555555555556,0.6666666666666666,
microsoft,0.7301587301587301,0.6666666666666666,0.7619047619047619,
netflix,0.4603174603174603,0.38095238095238093,0.6349206349206349,
tesla,0.47619047619047616,0.5396825396825397,0.5396825396825397,

features:,past_7_days_senti_avg,
response:,up_cat
 ,KNN,DecisionTree,SVM,
apple,0.6031746031746031,0.49206349206349204,0.7142857142857143,
amazon,0.6349206349206349,0.42857142857142855,0.7142857142857143,
facebook,0.5714285714285714,0.47619047619047616,0.7301587301587301,
google,0.5,0.6111111111111112,0.6666666666666666,
