relative_day,open,high,low,close,volume,change,rise,change rate,up_cat,1_day_sentiment_score,1_day_news_count,1_day_overall_sentiment_score,3_day_news_count,3_day_overall_sentiment_score,3_day_sentiment_score,7_day_news_count,7_day_overall_sentiment_score,7_day_sentiment_score,today_news_count,today_overall_sentiment_score,today_sentiment_score,1_day_bert_sentiment_score,1_day_overall_bert_sentiment_score,today_bert_sentiment_score,today_overall_bert_sentiment_score,3_day_bert_sentiment_score,3_day_overall_bert_sentiment_score,7_day_bert_sentiment_score,7_day_overall_bert_sentiment_score,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
-61,214.55,217.79,212.35,217.65,58323200.0,3.289999999999992,1.0,0.015116011945784479,1.0,0.09052235115349495,2.220446049250313e-16,154.70269812132287,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,1709.0,154.70269812132287,0.09052235115349495,0.0,0.0,0.5629607957870113,962.1000000000023,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
-60,205.24,209.26,201.21,203.22,91328700.0,-14.430000000000007,0.0,-0.07100679067020967,-2.0,0.09350179816266573,1709.0,152.5014328033078,1709.0,154.70269812132287,0.09052235115349495,1709.0,154.70269812132287,0.09052235115349495,1631.0,152.5014328033078,0.09350179816266573,0.5629607957870113,962.1000000000023,0.6652115266707581,1084.9600000000064,0.5629607957870113,962.1000000000023,0.5629607957870113,962.1000000000023,0,1,0,0,0,0,0
-57,200.1,200.19,194.1,197.45,66163700.0,-5.77000000000001,0.0,-0.02922258799696131,-1.0,0.06275157680380906,2554.0,144.7678876863875,5949.0,706.694268601768,0.11879211104417012,7658.0,861.3969667230909,0.11248328110774235,2307.0,144.7678876863875,0.06275157680380906,0.7685238841033791,1962.8100000000302,0.7178283485045571,1656.0300000000134,0.7268566145570763,4324.070000000047,0.6902807521546159,5286.170000000049,0,1,0,0,0,0,0
-56,197.77,200.51,197.54,199.58,31882900.0,2.130000000000024,1.0,0.010672412065337327,1.0,0.11554495467612817,2307.0,255.0077149702149,6625.0,698.9607234848478,0.10550350543167514,9965.0,1006.1648544094785,0.10096988002102142,2207.0,255.0077149702149,0.11554495467612817,0.7178283485045571,1656.0300000000134,0.7480335296783062,1650.9100000000217,0.7388890566037817,4895.140000000054,0.696658304064231,6942.200000000063,0,1,0,0,0,0,0
-55,201.74,205.74,199.93,205.63,33424400.0,6.049999999999983,1.0,0.029421776978067322,1.0,0.12481823502954835,2207.0,218.18227483165052,7068.0,709.1237601241345,0.10032877194738744,12172.0,1261.1725693796932,0.10361260017907437,1748.0,218.18227483165052,0.12481823502954835,0.7480335296783062,1650.9100000000217,0.6973226544622483,1218.92000000001,0.7455786644029521,5269.7500000000655,0.705973545842925,8593.110000000084,0,1,0,0,0,0,0
-54,206.38,206.52,203.21,204.92,25362600.0,-0.710000000000008,0.0,-0.003464766738239352,0.0,0.19510643627130309,1748.0,356.654565503942,6262.0,617.957877488253,0.09868378752607042,13920.0,1479.3548442113438,0.10627549168184941,1828.0,356.654565503942,0.19510643627130309,0.6973226544622483,1218.92000000001,0.5356892778993404,979.2399999999942,0.7227499201533129,4525.860000000045,0.7048872126436849,9812.030000000093,0,1,0,0,0,0,0
-53,202.03,202.48,198.78,200.97,34365800.0,-3.9499999999999886,0.0,-0.019654674827088565,-1.0,0.18256462201068227,1828.0,353.2625435906702,5783.0,829.8445553058075,0.14349724283344414,14039.0,1681.3067115939632,0.11975972017906997,1935.0,353.2625435906702,0.18256462201068227,0.5356892778993404,979.2399999999942,0.5743772609819129,1111.4200000000014,0.6655836071243344,3849.070000000026,0.7001332003704028,9829.170000000086,0,1,0,0,0,0,0
-50,195.59,196.43,190.47,190.84,51135500.0,-10.129999999999995,0.0,-0.053081115070215866,-2.0,0.1286413046144062,1937.0,286.3555440716682,5264.0,682.5781271136282,0.12966909709605398,13354.0,1657.190570105823,0.12409694249706628,2226.0,286.3555440716682,0.1286413046144062,0.5838926174496673,1131.0000000000055,0.5196900269541783,1156.8300000000008,0.5769091945288768,3036.8500000000076,0.6396547850831248,8541.950000000048,0,1,0,0,0,0,0
-49,188.35,193.8,188.17,188.94,46882900.0,-1.9000000000000057,0.0,-0.010056102466391477,-1.0,0.10751781708535854,2226.0,198.58540815665722,5555.0,615.6711275946262,0.11083188615564829,13273.0,1798.7782264911039,0.135521602236955,1847.0,198.58540815665722,0.10751781708535854,0.5196900269541783,1156.8300000000008,0.526854358419058,973.1000000000001,0.5548622862286241,3082.260000000007,0.6059481654486578,8042.750000000035,0,1,0,0,0,0,0
-48,190.58,191.15,182.74,183.6,60801000.0,-5.340000000000003,0.0,-0.029084967320261456,-1.0,0.09085778905684769,1847.0,164.08916703666694,6010.0,678.3741388565118,0.11287423275482725,12913.0,1742.3559196775461,0.13493037401669217,1806.0,164.08916703666694,0.09085778905684769,0.526854358419058,973.1000000000001,0.5294241417497234,956.1400000000006,0.5425840266222973,3260.9300000000067,0.5703508092619851,7364.940000000013,0,1,0,0,0,0,0
