,relative_day,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
14,-41,tesla,0.11808447608762077,0.07178024259365427,0.08340563250403511,159,18.7754316979317,352.0,353.1,337.4,338.19,4686800
15,-39,tesla,0.11118979681126578,0.06670800804172962,0.07171961406590038,177,19.680594035594044,334.35,337.5,325.55,325.83,4202600
16,-36,tesla,0.14938965641126123,0.06849873863014169,0.03706326560375526,243,36.30168650793648,325.0,346.22,325.0,346.0,7992100
17,-35,tesla,0.13397631480258582,0.06796261363146118,0.04979655213708708,354,47.42761544011538,340.05,346.96,335.5,343.92,6358300
18,-34,tesla,0.03188532555879496,0.07323432058753336,0.09445532373794902,490,15.623809523809532,345.99,348.28,342.21,347.87,4127600
19,-33,tesla,0.05869596265383097,0.060920156226272545,0.10508376559088067,448,26.295791268916275,347.0,347.5,339.55,341.17,3080700
20,-32,tesla,0.07777169741277627,0.0693052937482484,0.07485253433840391,241,18.74297907647908,341.83,351.6,338.26,350.48,5629100
21,-29,tesla,0.05676106661136599,0.06453127954846417,0.02592389913759209,167,9.47909812409812,360.0,366.0,352.0,358.49,8306500
22,-28,tesla,0.04821751106708734,0.05129862386276486,0.018920355537121996,177,8.534499458874459,356.05,368.68,352.0,359.7,8461900
23,-26,tesla,0.09616280363155365,0.0344923196778658,0.03499285922615111,180,17.309304653679657,356.01,367.38,350.76,363.06,7842500
24,-25,tesla,0.056555888680888705,0.03984472553182618,0.048126771566213665,222,12.555407287157292,369.0,379.49,357.65,357.97,11511200
25,-8,tesla,0.0684152166643605,0.0,0.0,146,9.988621632996633,313.5,314.5,295.2,295.39,5559900
26,-6,tesla,0.04797096747642861,0.009773602380622928,0.0228050722214535,412,19.764038600288586,300.0,326.97,294.09,326.09,8163100
27,-5,tesla,0.1025785897825372,0.016626597734398445,0.038795394713596366,247,25.33691167628669,319.84,322.17,301.5,316.13,8575100
28,-4,tesla,0.09700940769300143,0.03128068198904661,0.0501831857529886,288,27.93870941558441,323.1,336.24,318.41,333.87,9939000
29,-1,tesla,0.06080531533367188,0.045139168802332534,0.032336469231000475,216,13.133948112073126,337.79,339.21,325.26,332.8,6302300
30,1,tesla,0.09260895275810044,0.04405204004080559,0.020268438444557293,352,32.598351370851354,306.1,315.13,298.8,310.12,11658600
31,2,tesla,0.12544513179128566,0.05042889508104442,0.05113808936392411,169,21.20022727272728,307.0,309.4,297.38,300.36,6965200
32,8,tesla,0.024991377186499124,0.031150583507055157,0.0,164,4.098585858585857,335.5,343.5,331.47,338.53,5432900
33,9,tesla,0.07696147561395786,0.021490929853969255,0.008330459062166375,282,21.703136123136115,334.4,345.39,331.79,344.97,6056400
34,13,tesla,0.18068181818181817,0.014564693257208142,0.0,8,1.4454545454545453,342.38,342.5,334.0,334.4,5247300
35,14,tesla,0.08845673013024988,0.04037638156889645,0.06022727272727272,152,13.445422979797982,335.0,348.8,334.5,344.43,6056600
36,15,tesla,0.12584188475665753,0.05301305730178929,0.08971284943735602,220,27.685214646464654,344.78,352.0,343.5,346.05,4691700
37,16,tesla,0.07755486487270408,0.06742027266895477,0.13166014435624185,199,15.433418109668112,346.21,351.5,344.15,347.31,3676700
38,17,tesla,0.014503173211850889,0.06750504256306138,0.09728449325320383,363,5.264651875901873,323.0,327.13,299.73,302.26,24150800
39,21,tesla,0.050430219972806736,0.04376523613878035,0.0,317,15.986379731379735,304.82,308.0,295.5,298.92,12066700
40,22,tesla,0.09217360667565598,0.03833287754485989,0.016810073324268912,305,28.112950036075073,292.5,294.5,281.69,287.59,12530000
41,23,tesla,0.09787156306857393,0.03352312353328824,0.047534608882820906,184,18.008367604617604,283.03,293.68,279.28,291.51,8012200
42,24,tesla,0.13371335826795597,0.03642550898984108,0.08015846323901221,174,23.26612433862434,294.39,298.52,289.55,297.04,7249600
43,27,tesla,0.09713666748264965,0.05345553542642752,0.04457111942265199,168,16.318960137085142,292.91,297.46,287.75,296.38,6423300
44,28,tesla,0.08397303865724919,0.06733220220966318,0.03237888916088322,95,7.977438672438673,295.27,298.56,291.8,297.46,4621700
45,29,tesla,0.0661834682806905,0.07212403345029782,0.06036990204663295,270,17.869536435786433,300.45,309.0,298.49,308.77,11250300
46,30,tesla,0.09401795044036426,0.06841115653673133,0.08243105814019645,116,10.906082251082255,301.0,311.56,294.0,307.02,12569200
47,31,tesla,0.15838922841864023,0.06786064044698707,0.08139148579276799,85,13.463084415584419,305.42,316.1,303.5,312.21,7283400
48,34,tesla,0.09980958209167018,0.07138576475422768,0.05279640947288008,261,26.050300925925917,312.98,315.3,301.88,312.89,7352100
49,35,tesla,0.05562879075329275,0.07176760969837348,0.033269860697223395,251,13.962826479076481,312.49,322.44,312.25,321.35,6742800
50,36,tesla,0.058478931575165864,0.0677184314263797,0.051812790948320975,239,13.976464646464642,319.59,324.24,315.62,317.22,5038500
51,37,tesla,0.12205266100408274,0.06661778332559047,0.07130576814004293,211,25.75311147186146,313.3,314.7,303.0,307.51,6520600
52,38,tesla,0.12073968870366251,0.07062274197755025,0.07872012777751379,229,27.649388713138716,306.83,307.45,298.5,305.8,5844200
53,41,tesla,0.10667602313252092,0.065244236303982,0.04024656290122084,227,24.21545725108225,311.6,318.6,310.5,312.84,7129700
54,42,tesla,0.08529461564414166,0.06622515645267497,0.035558674377506976,211,17.99716390091389,316.2,318.19,309.62,311.81,5517600
55,43,tesla,0.1911191855792721,0.07046313143708197,0.0639902129255542,404,77.21215097402593,312.35,312.75,305.57,308.17,5141600
56,44,tesla,0.23216736123637233,0.08941173915195426,0.1276966081186449,576,133.72840007215046,303.38,306.77,301.0,303.77,5200800
57,45,tesla,0.15061735006752183,0.10514241061370992,0.16952705415326205,291,43.82964886964886,304.5,308.0,303.9,307.88,3904900
58,49,tesla,0.05375210023894234,0.0941712160753297,0.0,380,20.42579809079809,306.56,311.54,305.47,305.64,4168400
59,50,tesla,0.08454532798950849,0.08966514244601552,0.017917366746314115,421,35.59358308358308,304.41,306.3,299.0,302.56,7142100
60,51,tesla,0.0847288633084088,0.07444030564747786,0.04609914274281695,297,25.164472402597415,301.81,303.24,290.5,291.23,8909200
61,52,tesla,0.05673526523302306,0.05337766308634021,0.07434209717895321,223,12.651964146964142,294.49,296.5,292.1,294.71,5740600
62,55,tesla,0.046291656596459604,0.03996593668141181,0.018911755077674352,203,9.3972062890813,297.91,302.9,297.0,298.77,6626500
63,56,tesla,0.07979614789773963,0.046579030480906045,0.015430552198819869,267,21.305571488696483,292.22,302.01,288.77,297.86,8582500
64,57,tesla,0.1048379950296617,0.05029960871787708,0.042029268164733076,300,31.45139850889851,301.78,316.3,300.55,314.74,11183900
65,58,tesla,0.12103598779971499,0.05319856115218469,0.07697526650795365,601,72.74262866762871,318.92,320.0,310.81,319.88,10520700
66,59,tesla,0.08883951854858099,0.05838529322237129,0.10189004357570546,400,35.535807419432395,306.94,307.13,291.9,294.79,22911400
