,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
22,57,0.0028660474211683125,0,amazon,0.1341776948420801,0.09370143467467225,0.0932822690126261,968,129.88400860713352,1628.18,1641.81,1615.1,1641.09,3148800
23,58,-0.0007677823885344441,0,amazon,0.13213896700957695,0.09656399097064385,0.13800816729331947,1082,142.97436230436224,1635.25,1651.77,1633.83,1639.83,3025900
24,59,0.019453236006171427,1,amazon,0.13580735428425283,0.09598815431862458,0.1306195695211587,790,107.28780988455975,1655.13,1674.26,1651.0,1671.73,4974900
25,62,0.0,0,amazon,0.12455653201918669,0.09742440331054117,0.04526911809475095,1040,129.53879329995416,1685.0,1709.43,1674.36,1696.17,6167400
26,63,-0.002204967662439501,0,amazon,0.12298436874353111,0.09317465640955937,0.041518844006395564,764,93.96005772005776,1702.95,1707.8,1689.01,1692.43,3681500
27,64,-0.013873542775772124,-1,amazon,0.1366656709407345,0.0928092738426611,0.08251363358757259,1182,161.53882305194819,1695.97,1697.75,1668.28,1668.95,3996000
28,65,-0.025764702357769856,-1,amazon,0.16684197840649828,0.09316469899961173,0.1280688572344841,1083,180.68986261423763,1667.37,1669.75,1620.51,1625.95,4957000
29,66,-0.003167379070697187,0,amazon,0.1522007034931019,0.09812227205631477,0.1421640060302546,1074,163.46355555159144,1604.01,1622.72,1586.57,1620.8,4667000
30,69,0.0,0,amazon,0.1232154051917049,0.10046417908615035,0.05073356783103397,981,120.8743124930625,1626.12,1672.29,1626.01,1670.62,3876400
31,70,0.001484478816247871,0,amazon,0.07606506991017863,0.10027258953936725,0.0410718017305683,1702,129.46274898712403,1669.0,1684.27,1660.98,1673.1,3614500
32,71,0.010585141354372146,1,amazon,0.22603227939921475,0.09356983256317404,0.06642682503396118,1240,280.2800264550263,1683.0,1700.0,1679.35,1690.81,3552000
33,72,-0.0027146752148378105,0,amazon,0.2858193251802749,0.10633649091438549,0.14177091816703277,1290,368.70692948255464,1691.2,1702.0,1684.34,1686.22,2946600
34,90,0.0,0,amazon,0.1977342994701344,0.06827778829490322,0.07222860230729683,503,99.46035263347761,1800.11,1815.67,1798.73,1814.19,4238800
35,91,-0.00011575413821046108,0,amazon,0.12614610268958104,0.09652554536206527,0.06591143315671147,575,72.5340090465091,1811.02,1820.0,1805.12,1813.98,3448100
36,92,0.0037045612410280307,0,amazon,0.12691600368529155,0.11454641717486257,0.1079601340532385,674,85.5413864838865,1826.72,1830.0,1809.62,1820.7,3980600
