,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,1_day_bert_sentiment_score,1_day_overall_bert_sentiment_score,open,high,low,close,volume
10,-47,-0.00256552489252534,0,facebook,0.024498141753012726,0.03580933148536079,0.038530405570686044,3567,87.3848716329964,{'$numberInt': '0'},{'$numberInt': '0'},142.33,144.84,140.83,143.85,30320300
11,-46,-0.030031282586027067,-1,facebook,0.05685096397682804,0.0300463504241979,0.036183995839739254,2315,131.6099816063569,{'$numberInt': '0'},{'$numberInt': '0'},141.07,141.77,137.77,139.53,37250600
12,-43,0.0,0,facebook,0.037793859710749896,0.028134331777414128,0.018950321325609348,2050,77.47741240703729,{'$numberInt': '0'},{'$numberInt': '0'},137.61,137.75,131.21,131.55,44362700
13,-42,0.006689471683770394,0,facebook,0.04043129833096705,0.0290281158866851,0.012597953236916632,2792,112.88418494006,{'$numberInt': '0'},{'$numberInt': '0'},127.03,134.16,126.85,132.43,41939500
14,-41,0.01804727025598419,1,facebook,0.06429384682700244,0.02815174983795423,0.02607505268057232,2394,153.91946930384384,{'$numberInt': '0'},{'$numberInt': '0'},134.4,137.19,134.13,134.82,25469700
15,-39,0.0,0,facebook,0.07740791543274118,0.02848142412079249,0.034908381719323166,1722,133.2964303751803,{'$numberInt': '0'},{'$numberInt': '0'},133.65,134.5,131.26,131.73,11886100
16,-36,0.0,0,facebook,0.047092788952240075,0.031418131471637224,0.025802638477580395,2050,96.54021735209216,{'$numberInt': '0'},{'$numberInt': '0'},133.0,137.0,132.78,136.38,24263600
17,-35,-0.010118785745710481,-1,facebook,0.06626807962628851,0.03274654993470725,0.015697596317413357,2278,150.95868538868524,{'$numberInt': '0'},{'$numberInt': '0'},135.75,136.61,133.71,135.0,20750300
18,-34,0.01303703703703697,1,facebook,0.07712942692228408,0.036437518691181746,0.03778695619284286,1575,121.47884740259744,{'$numberInt': '0'},{'$numberInt': '0'},136.28,136.79,131.85,136.76,29847500
19,-33,0.014039192746417198,1,facebook,0.08799080404889202,0.03827117299050769,0.06349676516693754,1700,149.58436688311645,{'$numberInt': '0'},{'$numberInt': '0'},135.92,139.99,135.66,138.68,24238700
20,-32,0.013916931064320787,1,facebook,0.08353880525876653,0.05084128785463512,0.07712943686582154,1677,140.09457641895148,{'$numberInt': '0'},{'$numberInt': '0'},138.26,140.97,137.36,140.61,25732600
21,-29,0.0,0,facebook,0.08265789310821871,0.05171712925835303,0.027846268419588843,1535,126.87986592111572,{'$numberInt': '0'},{'$numberInt': '0'},143.0,143.68,140.76,141.09,24819200
22,-28,-0.022397051527393838,-1,facebook,0.03902949708866475,0.05679785842349284,0.027552631036072903,1538,60.027366522366385,{'$numberInt': '0'},{'$numberInt': '0'},140.73,143.39,137.16,137.93,30307400
23,-26,0.0,0,facebook,0.05254123788064329,0.041888142786363144,0.040562463398961156,2683,140.96814123376595,{'$numberInt': '0'},{'$numberInt': '0'},133.82,139.7,133.67,139.63,28218100
24,-25,-0.015827544224020683,-1,facebook,0.085771252995803,0.036823919048041893,0.03052357832310268,1611,138.17748857623863,{'$numberInt': '0'},{'$numberInt': '0'},139.25,140.87,136.66,137.42,21195500
25,-8,0.0,0,facebook,0.07312143725113633,0.0,0.0,570,41.67921923314771,{'$numberInt': '0'},{'$numberInt': '0'},123.1,129.74,123.02,124.06,22066000
26,-6,0.0,0,facebook,0.09295392652887918,0.01044591960730519,0.024373812417045445,1054,97.97343856143866,{'$numberInt': '0'},{'$numberInt': '0'},126.0,134.24,125.89,134.18,39723400
27,-5,0.002533909673572838,0,facebook,0.01738761531592082,0.023725051968573645,0.05535845459333851,1611,28.011448273948442,{'$numberInt': '0'},{'$numberInt': '0'},132.44,134.99,129.67,134.52,31202500
