features:,relative_day,
response:,up_cat
min_samples_split,apple,amazon,facebook,google,microsoft,netflix,tesla,
2,0.23809523809523808,0.31746031746031744,0.2222222222222222,0.2777777777777778,0.3492063492063492,0.2857142857142857,0.2698412698412698,
3,0.1746031746031746,0.3492063492063492,0.15873015873015872,0.2777777777777778,0.31746031746031744,0.30158730158730157,0.2698412698412698,
4,0.15873015873015872,0.3333333333333333,0.19047619047619047,0.2777777777777778,0.3492063492063492,0.30158730158730157,0.2698412698412698,
5,0.23809523809523808,0.4126984126984127,0.19047619047619047,0.2222222222222222,0.3492063492063492,0.3333333333333333,0.23809523809523808,

features:,past_3_days_senti_avg,
response:,up_cat
min_samples_split,apple,amazon,facebook,google,microsoft,netflix,tesla,
2,0.3333333333333333,0.36507936507936506,0.3968253968253968,0.4444444444444444,0.4126984126984127,0.2857142857142857,0.4126984126984127,
3,0.38095238095238093,0.3968253968253968,0.3333333333333333,0.4444444444444444,0.3968253968253968,0.23809523809523808,0.42857142857142855,
4,0.36507936507936506,0.4126984126984127,0.3333333333333333,0.3333333333333333,0.3968253968253968,0.2698412698412698,0.38095238095238093,
5,0.36507936507936506,0.3968253968253968,0.36507936507936506,0.4444444444444444,0.3968253968253968,0.2857142857142857,0.3968253968253968,

features:,relative_day,past_3_days_senti_avg,
response:,up_cat
min_samples_split,apple,amazon,facebook,google,microsoft,netflix,tesla,
2,0.42857142857142855,0.4126984126984127,0.31746031746031744,0.3333333333333333,0.38095238095238093,0.30158730158730157,0.31746031746031744,
3,0.36507936507936506,0.3492063492063492,0.3333333333333333,0.2777777777777778,0.36507936507936506,0.30158730158730157,0.3333333333333333,
4,0.3333333333333333,0.38095238095238093,0.31746031746031744,0.2777777777777778,0.38095238095238093,0.2698412698412698,0.30158730158730157,
5,0.3492063492063492,0.4126984126984127,0.3333333333333333,0.2777777777777778,0.3492063492063492,0.31746031746031744,0.2857142857142857,



